,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
Ronnie Bell,1900.0,N/A,N/A,N/A,N/A,1900.0
Jacob Cowing,1900.0,2300.0,1900.0,N/A,N/A,1900.0
Tyler Scott,1700.0,1100.0,1700.0,N/A,N/A,1700.0
Marcedes Lewis,2000.0,1600.0,1900.0,N/A,N/A,2000.0
Jake Tonges,3000.0,2900.0,2900.0,N/A,N/A,N/A
Brayden Willis,4000.0,2900.0,3400.0,N/A,N/A,4000.0
Isiah Pacheco,105.0,120.0,100.0,-122.0,100.0,105.0
Travis Kelce,140.0,140.0,140.0,120.0,135.0,140.0
Gus Edwards,160.0,195.0,160.0,128.0,165.0,160.0
Kareem Hunt,195.0,210.0,190.0,143.0,200.0,195.0
Ladd McConkey,160.0,185.0,160.0,155.0,155.0,160.0
DeAndre Hopkins,220.0,260.0,220.0,200.0,225.0,220.0
Xavier Worthy,275.0,340.0,270.0,235.0,275.0,275.0
Quentin Johnston,250.0,185.0,250.0,230.0,250.0,250.0
Will Dissly,330.0,280.0,325.0,300.0,350.0,330.0
Noah Gray,350.0,410.0,350.0,310.0,350.0,350.0
Justin Herbert,380.0,500.0,350.0,300.0,375.0,380.0
Joshua Palmer,350.0,280.0,350.0,310.0,350.0,350.0
JuJu Smith-Schuster,500.0,800.0,500.0,500.0,500.0,500.0
Patrick Mahomes,550.0,650.0,550.0,450.0,550.0,550.0
Kansas City Chiefs D/ST,425.0,N/A,N/A,N/A,425.0,425.0
Los Angeles Chargers D/ST,450.0,N/A,N/A,N/A,500.0,N/A
Kimani Vidal,500.0,500.0,500.0,460.0,500.0,500.0
Justin Watson,750.0,850.0,750.0,750.0,775.0,750.0
Hassan Haskins,850.0,900.0,800.0,600.0,850.0,850.0
Samaje Perine,1000.0,1200.0,1000.0,1300.0,1100.0,1000.0
Carson Steele,950.0,2100.0,900.0,1900.0,1100.0,1000.0
Mecole Hardman,1100.0,1000.0,1100.0,1000.0,1100.0,1100.0
Jalen Reagor,900.0,850.0,900.0,800.0,1000.0,900.0
DJ Chark Jr.,1100.0,1600.0,N/A,1400.0,1100.0,1100.0
Derius Davis,1100.0,800.0,1100.0,900.0,1200.0,1100.0
Tucker Fisk,1200.0,1100.0,1100.0,1500.0,1300.0,1200.0
Peyton Hendershot,1500.0,N/A,N/A,N/A,N/A,1500.0
Stone Smartt,1900.0,1900.0,1900.0,2000.0,2000.0,1900.0
Chase Brown,-190.0,-185.0,-200.0,-250.0,N/A,-190.0
Ja'Marr Chase,-165.0,-150.0,-167.0,-180.0,N/A,-164.0
Rico Dowdle,-135.0,-110.0,-143.0,-150.0,N/A,-136.0
Tee Higgins,130.0,130.0,130.0,102.0,N/A,130.0
CeeDee Lamb,150.0,150.0,150.0,118.0,N/A,150.0
Mike Gesicki,240.0,350.0,240.0,205.0,N/A,240.0
Khalil Herbert,270.0,550.0,270.0,380.0,N/A,270.0
